Exp,Year,Plot,Strip,family,Species5,Species,tipLabel,NumSp,SpNum,FgNum,Fgset,biomass,Achillea_millefolium,Elymus_smithii,Amorpha_canescens,Andropogon_gerardi,Asclepias_tuberosa,Elymus_canadensis,Koeleria_pyramidata,Lespedeza_capitata,Liatris_aspera,Lupinus_perennis,Monarda_fistulosa,Panicum_virgatum,Dalea_purpurea,Poa_pratensis,Quercus_ellipsoidalis,Quercus_macrocarpa,Schizachyrium_scoparium,Sorghastrum_nutans,id,species,pa
120,2001,9,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,16,17,5,34FLW,13.333,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Sornu,Sornu,1
120,2001,11,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,1,1,1,F,105.665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_11_Achmi,Achmi,1
120,2001,12,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,8,10,4,34FL,3.44,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Achmi,Achmi,1
120,2001,12,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,8,10,4,34FL,18.37,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Koepy,Koepy,1
120,2001,12,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,8,10,4,34FL,150.802,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Luppe,Luppe,1
120,2001,12,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,8,10,4,34FL,6.475,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Monfi,Monfi,1
120,2001,12,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,8,10,4,34FL,5.643,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Poapr,Poapr,1
120,2001,12,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,8,10,4,34FL,5.862,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Schsc,Schsc,1
120,2001,12,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,8,10,4,34FL,13.172,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8_12_Sornu,Sornu,1
120,2001,14,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,2,2,1,F,25.178,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2_14_Asctu,Asctu,1
120,2001,14,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,2,2,1,F,76.51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2_14_Liaas,Liaas,1
120,2001,15,3,Poaceae,Elyca,Elymus canadensis,Elymus_canadensis,8,10,4,3FLW,2.35,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,8_15_Elyca,Elyca,1
120,2001,15,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,8,10,4,3FLW,50.983,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,8_15_Monfi,Monfi,1
120,2001,15,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,8,10,4,3FLW,28.7,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,8_15_Petpu,Petpu,1
120,2001,15,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,8,10,4,3FLW,2.017,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,8_15_Poapr,Poapr,1
120,2001,15,3,Fagaceae,Quema,Quercus macrocarpa,Quercus_macrocarpa,8,10,4,3FLW,0.458,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,8_15_Quema,Quema,1
120,2001,16,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,1,1,1,F,16.382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1_16_Asctu,Asctu,1
120,2001,20,3,Fabaceae,Amoca,Amorpha canescens,Amorpha_canescens,1,1,1,L,80.277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_20_Amoca,Amoca,1
120,2001,22,3,Poaceae,Elyca,Elymus canadensis,Elymus_canadensis,8,10,4,3FLW,0.92,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,8_22_Elyca,Elyca,1
120,2001,22,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,8,10,4,3FLW,34.392,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,8_22_Koepy,Koepy,1
120,2001,22,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,8,10,4,3FLW,13.618,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,8_22_Liaas,Liaas,1
120,2001,22,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,8,10,4,3FLW,35.737,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,8_22_Monfi,Monfi,1
120,2001,24,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,4,4,3,34F,1.183,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4_24_Asctu,Asctu,1
120,2001,24,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,4,4,3,34F,1.15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4_24_Panvi,Panvi,1
120,2001,24,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,4,4,3,34F,40.35,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4_24_Schsc,Schsc,1
120,2001,26,3,Poaceae,Elyca,Elymus canadensis,Elymus_canadensis,4,4,3,34L,0.138,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4_26_Elyca,Elyca,1
120,2001,26,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,4,4,3,34L,31.828,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4_26_Petpu,Petpu,1
120,2001,26,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,4,4,3,34L,38.71,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4_26_Sornu,Sornu,1
120,2001,27,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,16,17,5,34FLW,13.027,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Achmi,Achmi,1
120,2001,27,3,Fabaceae,Amoca,Amorpha canescens,Amorpha_canescens,16,17,5,34FLW,13.29,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Amoca,Amoca,1
120,2001,27,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,16,17,5,34FLW,1.265,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Asctu,Asctu,1
120,2001,27,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,16,17,5,34FLW,2.438,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Koepy,Koepy,1
120,2001,27,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,16,17,5,34FLW,21.222,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Lesca,Lesca,1
120,2001,27,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,16,17,5,34FLW,0.082,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Liaas,Liaas,1
120,2001,27,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,194.587,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Luppe,Luppe,1
120,2001,27,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,16,17,5,34FLW,1.942,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Monfi,Monfi,1
120,2001,27,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,0.153,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Panvi,Panvi,1
120,2001,27,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,16,17,5,34FLW,8.467,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Petpu,Petpu,1
120,2001,27,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,16,17,5,34FLW,7.495,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Poapr,Poapr,1
120,2001,27,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,23.25,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Schsc,Schsc,1
120,2001,27,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,16,17,5,34FLW,14.283,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16_27_Sornu,Sornu,1
120,2001,28,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,4,4,2,LW,40.448,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4_28_Lesca,Lesca,1
120,2001,28,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,4,4,2,LW,65.815,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4_28_Petpu,Petpu,1
120,2001,29,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,1,1,1,L,63.967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1_29_Lesca,Lesca,1
120,2001,30,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,16,17,5,34FLW,0.482,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Achmi,Achmi,1
120,2001,30,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,16,17,5,34FLW,6.86,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Andge,Andge,1
120,2001,30,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,16,17,5,34FLW,9.295,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Koepy,Koepy,1
120,2001,30,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,16,17,5,34FLW,2.392,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Liaas,Liaas,1
120,2001,30,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,108.622,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Luppe,Luppe,1
120,2001,30,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,0.247,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Panvi,Panvi,1
120,2001,30,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,16,17,5,34FLW,1.257,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Poapr,Poapr,1
120,2001,30,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,17.673,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Schsc,Schsc,1
120,2001,30,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,16,17,5,34FLW,15.913,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16_30_Sornu,Sornu,1
120,2001,31,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,1,1,1,4,22.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1_31_Schsc,Schsc,1
120,2001,32,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,2,2,2,4W,31.567,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2_32_Andge,Andge,1
120,2001,33,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,4,5,4,34FL,43.467,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4_33_Andge,Andge,1
120,2001,33,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,4,5,4,34FL,8.317,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4_33_Liaas,Liaas,1
120,2001,34,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,16,17,5,34FLW,0.225,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Achmi,Achmi,1
120,2001,34,3,Fabaceae,Amoca,Amorpha canescens,Amorpha_canescens,16,17,5,34FLW,2.608,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Amoca,Amoca,1
120,2001,34,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,16,17,5,34FLW,3.127,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Andge,Andge,1
120,2001,34,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,16,17,5,34FLW,6.053,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Koepy,Koepy,1
120,2001,34,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,200.568,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Luppe,Luppe,1
120,2001,34,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,1.418,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Panvi,Panvi,1
120,2001,34,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,19.943,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Schsc,Schsc,1
120,2001,34,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,16,17,5,34FLW,10.228,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16_34_Sornu,Sornu,1
120,2001,35,3,Fabaceae,Amoca,Amorpha canescens,Amorpha_canescens,16,17,5,34FLW,0.067,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Amoca,Amoca,1
120,2001,35,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,16,17,5,34FLW,10.867,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Andge,Andge,1
120,2001,35,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,16,17,5,34FLW,0.022,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Asctu,Asctu,1
120,2001,35,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,16,17,5,34FLW,2.8,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Koepy,Koepy,1
120,2001,35,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,16,17,5,34FLW,14.05,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Lesca,Lesca,1
120,2001,35,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,16,17,5,34FLW,0.233,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Liaas,Liaas,1
120,2001,35,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,62.217,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Luppe,Luppe,1
120,2001,35,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,8.35,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Panvi,Panvi,1
120,2001,35,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,16,17,5,34FLW,28.683,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Petpu,Petpu,1
120,2001,35,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,16.383,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Schsc,Schsc,1
120,2001,35,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,16,17,5,34FLW,13.817,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,16_35_Sornu,Sornu,1
120,2001,44,3,Apocynaceae,Asctu,Asclepias tuberosa,Asclepias_tuberosa,4,5,3,4FL,0.927,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4_44_Asctu,Asctu,1
120,2001,44,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,4,5,3,4FL,7.533,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4_44_Panvi,Panvi,1
120,2001,44,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,4,5,3,4FL,11.738,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4_44_Petpu,Petpu,1
120,2001,45,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,4,4,4,4FLW,34.398,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4_45_Andge,Andge,1
120,2001,45,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,4,4,4,4FLW,7.44,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4_45_Liaas,Liaas,1
120,2001,45,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,4,4,4,4FLW,18.307,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4_45_Petpu,Petpu,1
120,2001,46,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,16,17,5,34FLW,21.383,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Achmi,Achmi,1
120,2001,46,3,Fabaceae,Amoca,Amorpha canescens,Amorpha_canescens,16,17,5,34FLW,16.233,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Amoca,Amoca,1
120,2001,46,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,16,17,5,34FLW,4.8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Andge,Andge,1
120,2001,46,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,16,17,5,34FLW,5.8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Koepy,Koepy,1
120,2001,46,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,16,17,5,34FLW,0.167,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Liaas,Liaas,1
120,2001,46,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,198.167,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Luppe,Luppe,1
120,2001,46,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,0.717,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Panvi,Panvi,1
120,2001,46,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,12.05,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16_46_Schsc,Schsc,1
120,2001,48,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,2,2,2,3L,38.917,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2_48_Koepy,Koepy,1
120,2001,48,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,2,2,2,3L,119.433,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2_48_Lesca,Lesca,1
120,2001,50,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,8,9,4,3FLW,24.617,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Achmi,Achmi,1
120,2001,50,3,Poaceae,Elyca,Elymus canadensis,Elymus_canadensis,8,9,4,3FLW,0.817,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Elyca,Elyca,1
120,2001,50,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,8,9,4,3FLW,8.65,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Koepy,Koepy,1
120,2001,50,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,8,9,4,3FLW,36.778,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Lesca,Lesca,1
120,2001,50,3,Fabaceae,Petpu,Petalostemum purpureum,Dalea_purpurea,8,9,4,3FLW,30.6,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Petpu,Petpu,1
120,2001,50,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,8,9,4,3FLW,14.417,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,8_50_Poapr,Poapr,1
120,2001,53,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,4,4,4,34LW,9.183,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4_53_Lesca,Lesca,1
120,2001,53,3,Fagaceae,Quema,Quercus macrocarpa,Quercus_macrocarpa,4,4,4,34LW,6.057,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4_53_Quema,Quema,1
120,2001,53,3,Poaceae,Sornu,Sorghastrum nutans,Sorghastrum_nutans,4,4,4,34LW,30.51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4_53_Sornu,Sornu,1
120,2001,56,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,2,2,2,4L,138.238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2_56_Luppe,Luppe,1
120,2001,56,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,2,2,2,4L,56.022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2_56_Schsc,Schsc,1
120,2001,57,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,8,10,4,34FL,2.383,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Achmi,Achmi,1
120,2001,57,3,Poaceae,Koepy,Koeleria pyramidata,Koeleria_pyramidata,8,10,4,34FL,9.883,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Koepy,Koepy,1
120,2001,57,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,8,10,4,34FL,21.967,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Lesca,Lesca,1
120,2001,57,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,8,10,4,34FL,0.015,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Monfi,Monfi,1
120,2001,57,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,8,10,4,34FL,1.4,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Poapr,Poapr,1
120,2001,57,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,8,10,4,34FL,20.783,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,8_57_Schsc,Schsc,1
